sample,crystal_system,a,b,c,alpha,beta,gamma,cbm,vbm,band_gap
Al2O3,Triclinic,9.823,11.226,10.23,91.04,86.26,88.86,7.4438,4.0261,3.4177
Fe2O3,Triclinic,10.022,10.819,9.821,90.88,93.31,95.47,2.5617,1.4494,1.1123
Tb2O3,Cubic,9.236,9.236,9.236,109.47,109.47,109.47,5.244,1.3434,3.9006
UO3,Tetragonal,11.244,11.244,11.244,143.84,143.84,52.06,4.5016,2.6161,1.8855
Al2O3,Trigonal,3.002,6.021,3.002,104.43,60,104.43,9.9578,5.9549,4.0029
Gd2O3,Monoclinic,3.563,7.289,8.762,99.75,90,104.14,4.8183,1.9126,2.9057
Bi2O3,Cubic,9.614,9.614,9.614,109.47,109.47,109.47,6.3669,4.4472,1.9197
AlO3,Monoclinic,7.79,7.79,2.972,100.82,100.82,27.61,5.0057,2.684,2.3217
Bi2O3,Orthorhombic,5.523,5.204,12.045,90,90,90,4.9397,3.191,1.7487
CrO3,Monoclinic,6.87,6.87,5.858,74.73,74.73,84.39,-0.1842,-2.2137,2.0295
Nd2O3,Cubic,9.637,9.637,9.637,109.47,109.47,109.47,4.9774,1.2694,3.708
Al2O3,Triclinic,10.253,10.38,10.459,93.31,87.28,91.97,7.5184,4.1941,3.3243
Al2O3,Triclinic,10.702,10.21,10.265,94.12,87.63,99.61,7.5617,4.4008,3.1609
Sb2O3,Orthorhombic,4.964,5.403,12.379,90,90,90,6.4587,4.2348,2.2239
B2O3,Triclinic,11.668,10.556,10.535,88.64,97.67,95.6,3.4074,-0.718,4.1254
Sm2O3,Cubic,9.473,9.473,9.473,109.47,109.47,109.47,4.9659,1.1836,3.7823
Fe2O3,Monoclinic,8.095,8.097,8.091,71.21,109.58,70.12,4.5542,3.2077,1.3465
Lu2O3,Trigonal,3.532,3.532,5.699,90,90,120,6.3581,2.2698,4.0883
Al2O3,Triclinic,10.622,10.128,10.04,93.22,91.62,92.35,8.0667,4.207,3.8597
WO3,Orthorhombic,5.214,5.311,7.679,90,90,90,1.9502,0.4865,1.4637
Al2O3,Triclinic,5.63,5.652,14.084,89.62,90.84,119.77,9.2519,5.9086,3.3433
WO3,Orthorhombic,3.86,3.867,7.72,90,90,90,1.5218,0.3524,1.1694
Br2O3,Monoclinic,7.767,8.841,11.742,108.44,90,90,1.0029,-0.7558,1.7587
Y2O3,Triclinic,11.634,11.609,12.028,87.02,85.09,86.23,4.5543,1.7412,2.8131
Al2O3,Triclinic,6.193,7.445,21.288,96.24,92.71,114.6,6.8608,5.4762,1.3846
Al2O3,Monoclinic,2.907,5.615,6.073,103.65,103.85,90,9.6272,5.1719,4.4553
Sb2O3,Orthorhombic,6.726,6.726,16.647,90,90,151.1,5.3775,4.1991,1.1784
B2O3,Triclinic,11.744,11.595,10.696,86.31,91.94,92.62,2.8458,-1.5867,4.4325
Al2O3,Orthorhombic,3.12,5.57,9.563,90,90,124.07,5.3776,1.8685,3.5091
Al2O3,Triclinic,9.977,10.426,10.444,91.71,89.45,88.22,8.1022,4.2238,3.8784
Al2O3,Triclinic,5.655,5.658,13.642,92.17,89.35,119.64,9.4285,6.1291,3.2994
CrO3,Orthorhombic,4.717,4.881,5.705,90,90,118.8,0.0892,-2.1993,2.2885
As2O3,Orthorhombic,5.27,7.496,13.152,90,90,90,1.7792,-1.2711,3.0503
CrO3,Monoclinic,4.625,6.996,9.739,71.55,90,90,-1.5419,-3.3971,1.8552
As2O3,Monoclinic,4.605,8.032,9.277,101.2,90,90,3.9983,0.3677,3.6306
Al2O3,Triclinic,10.213,10.418,10.246,89.22,92.68,85.3,7.8503,4.1762,3.6741
WO3,Tetragonal,5.237,5.237,7.899,90,90,90,1.9475,0.3221,1.6254
WO3,Hexagonal,7.511,7.511,7.712,90,90,120,0.9002,-0.3085,1.2087
Sc2O3,Orthorhombic,5.458,9.335,9.941,90,90,90,6.1052,1.9407,4.1645
Bi2O3,Orthorhombic,5.055,5.569,12.634,90,90,90,5.4998,3.2228,2.277
Sm2O3,Monoclinic,3.618,7.336,8.86,99.57,90,104.28,5.6378,1.8935,3.7443
Fe2O3,Orthorhombic,5.215,8.952,9.596,90,90,90,4.1021,2.577,1.5251
Al2O3,Triclinic,10.631,10.547,10.173,93.06,88.42,86.81,7.3013,4.0956,3.2057
Fe2O3,Orthorhombic,8.233,8.233,9.492,54.8,54.8,70.18,4.5517,3.2383,1.3134
La2O3,Hexagonal,6.267,6.267,3.3,90,90,120,4.9534,3.4192,1.5342
CrO3,Orthorhombic,4.863,4.863,3.097,90,90,119.45,-0.47,-1.9134,1.4434
WO3,Triclinic,12.091,11.53,12.577,83.67,91.1,87.58,1.5135,-0.5715,2.085
WO3,Monoclinic,7.384,7.548,7.732,88.86,90,90,2.0694,0.4398,1.6296
Nd2O3,Hexagonal,6.165,6.165,3.217,90,90,120,1.9394,0.3691,1.5703
WO3,Orthorhombic,7.694,7.686,7.759,90,90,90,1.7172,0.3643,1.3529
As2O3,Monoclinic,4.559,5.389,13.034,90,90,94.69,4.2952,0.2613,4.0339
Cr2O3,Orthorhombic,5.039,5.211,7.195,90,90,90,6.3106,3.9668,2.3438
Al2O3,Triclinic,10.065,10.089,10.894,87.29,91.04,86.35,7.7858,4.3532,3.4326
Er2O3,Monoclinic,3.432,7.102,8.484,99.89,90,103.98,6.0655,1.9632,4.1023
Fe2O3,Tetragonal,8.525,8.525,25.593,90,90,90,3.794,2.2267,1.5673
Al2O3,Triclinic,10.236,10.525,10.413,86.53,87.65,89.51,7.6958,4.1051,3.5907
Sc2O3,Cubic,8.542,8.542,8.542,109.47,109.47,109.47,6.2236,2.4001,3.8235
Sc2O3,Trigonal,5.348,5.666,5.348,118.16,60,118.16,6.3904,2.2628,4.1276
Sc2O3,Trigonal,5.4,5.816,5.4,117.66,60,117.66,5.889,1.836,4.053
Fe2O3,Orthorhombic,5.173,5.325,7.524,90,90,90,3.7652,2.4557,1.3095
Al2O3,Triclinic,5.576,5.604,14.56,78.94,81.83,60.9,9.1048,5.1285,3.9763
Al2O3,Triclinic,10.409,10.315,10.483,93.36,91.07,90.97,7.3938,3.9473,3.4465
Tb2O3,Tetragonal,3.809,3.809,5.588,90,90,90,3.6816,2.1207,1.5609
WO3,Tetragonal,12.063,12.063,3.945,90,90,90,1.576,0.0852,1.4908
Cr2O3,Monoclinic,10.784,5.252,6.227,120.55,149.98,54.05,2.6318,1.4101,1.2217
Al2O3,Monoclinic,3.089,7.376,15.216,89.72,90,90,7.1393,3.1394,3.9999
WO3,Tetragonal,3.883,7.719,7.719,90,90,90,1.665,0.3544,1.3106
La2O3,Cubic,9.838,9.838,9.838,109.47,109.47,109.47,8.1639,4.632,3.5319
Al2O3,Triclinic,10.002,10.608,10.622,92.89,90.64,92.54,7.4709,3.9606,3.5103
Pb2O3,Monoclinic,4.894,4.824,7.033,89.32,90,90,5.8008,4.729,1.0718
WO3,Cubic,3.806,3.806,3.806,90,90,90,1.4901,0.3777,1.1124
WO3,Hexagonal,7.509,7.509,7.744,90,90,120,1.11,-0.3834,1.4934
Bi2O3,Hexagonal,7.671,7.671,5.926,90,90,120,6.7552,5.2815,1.4737
As2O3,Monoclinic,4.612,8.827,8.923,74.45,90,90,4.5146,1.0652,3.4494
UO3,Orthorhombic,5.248,5.542,7.568,90,90,90,5.8816,3.9778,1.9038
CrO3,Monoclinic,5.259,5.001,7.129,89.91,90,90,1.5961,0.2697,1.3264
Al2O3,Triclinic,10.152,10.437,9.951,85.77,90.89,91.02,8.3452,4.7047,3.6405
B2O3,Triclinic,11.092,11.798,10.892,89.33,91.05,92.13,3.1145,-1.3661,4.4806
As2O3,Cubic,7.882,7.882,7.882,60,60,60,3.314,-0.7094,4.0234
Al2O3,Trigonal,3.017,3.017,7.575,90,90,120,6.1463,3.8603,2.286
Pr2O3,Trigonal,3.889,3.889,6.059,90,90,120,6.0699,2.3247,3.7452
Fe2O3,Monoclinic,14.684,5.355,7.81,131.67,160.07,44.99,2.1489,0.4612,1.6877
Bi2O3,Triclinic,8.995,9.047,37.226,94.52,94.54,109.44,6.0951,4.4088,1.6863
Pr2O3,Cubic,9.735,9.735,9.735,109.47,109.47,109.47,5.0105,1.3512,3.6593
Al2O3,Triclinic,10.019,10.121,10.436,93.32,91.31,95,8.4023,4.4237,3.9786
Al2O3,Triclinic,10.709,10.449,9.827,87.16,90.65,90.2,7.9462,4.003,3.9432
Ho2O3,Tetragonal,3.765,3.765,5.523,90,90,90,3.5274,2.0104,1.517
Bi2O3,Triclinic,4.08,3.741,8.203,62.66,62.59,61.13,5.4637,4.1591,1.3046
Tl4O3,Monoclinic,3.503,7.747,11.065,109.25,90,90,5.0009,3.9017,1.0992
Al2O3,Orthorhombic,4.672,4.672,7.045,90,90,146.75,11.6629,7.4142,4.2487
WO3,Monoclinic,3.944,7.781,7.539,90,90.1,90,1.5338,0.142,1.3918
Bi2O3,Tetragonal,5.579,7.84,7.84,90,90,90,5.1904,3.5322,1.6582
Tb2O3,Monoclinic,3.513,7.206,8.651,99.75,90,104.11,6.0089,2.0682,3.9407
WO3,Monoclinic,5.207,5.306,7.693,88.5,90,90,1.9932,0.3362,1.657
TeO3,Trigonal,5.2,5.2,5.2,56.57,56.57,56.57,5.3001,4.1498,1.1503
Pm2O3,Trigonal,3.805,3.805,5.971,90,90,120,6.0887,2.2214,3.8673
Al2O3,Monoclinic,5.639,5.639,27.541,89.45,89.45,60.45,9.4728,6.3976,3.0752
Er2O3,Cubic,9.054,9.054,9.054,109.47,109.47,109.47,5.205,1.2421,3.9629
MoO3,Triclinic,11.297,13.382,13.005,87.73,92.04,82.78,0.4679,-0.759,1.2269
C4O3,Trigonal,10.494,10.494,10.494,90.1,90.1,90.1,0.8243,-1.637,2.4613
Al2O3,Triclinic,10.232,10.345,10.687,94.08,92.1,91.85,7.4379,4.0986,3.3393
Y2O3,Tetragonal,3.806,3.806,5.557,90,90,90,3.796,2.2091,1.5869
Ho2O3,Trigonal,3.629,3.629,5.796,90,90,120,6.5233,2.281,4.2423
NdO3,Monoclinic,4.465,7.782,6.146,66.34,111.3,125.01,2.4914,0.3812,2.1102
As2O3,Tetragonal,6.903,6.903,7.887,90,90,90,3.5055,-0.1232,3.6287
Tb2O3,Trigonal,3.682,3.682,5.833,90,90,120,6.5306,2.3968,4.1338
Ga2O3,Triclinic,10.255,10.238,10.063,89.53,86.07,89.16,3.0031,0.9802,2.0229
Sc2O3,Monoclinic,3.201,6.825,8.016,100.26,90,103.56,6.712,3.2314,3.4806
Fe2O3,Orthorhombic,5.036,5.265,7.774,90,90,90,4.931,3.8704,1.0606
Ga2O3,Monoclinic,3.048,5.817,6.326,103.35,103.94,90,4.0687,2.0609,2.0078
Al2O3,Monoclinic,5.504,8.24,5.419,90,58.6,90,7.8363,3.4663,4.37
Al2O3,Hexagonal,4.996,4.996,9.337,90,90,120,3.9134,-0.9301,4.8435
Al2O3,Triclinic,9.929,11.101,10.179,88.71,86.35,89.75,7.6474,4.1489,3.4985
WO3,Hexagonal,7.457,7.457,7.536,90,90,120,0.9447,-0.3201,1.2648
Pb2O3,Monoclinic,5.681,7.601,7.851,67.07,90,90,5.8176,4.7427,1.0749
As2O3,Monoclinic,14.051,11.216,13.911,82.14,90,90,4.0372,0.6585,3.3787
Gd2O3,Tetragonal,3.839,3.839,5.637,90,90,90,3.3584,2.0334,1.325
Al2O3,Triclinic,10.55,10.143,10.244,92.22,92.21,90.27,7.9361,4.0898,3.8463
Sc2O3,Trigonal,3.39,3.39,5.666,90,90,120,7.069,3.6781,3.3909
Bi2O3,Monoclinic,7.296,9.208,10.073,77.46,90,90,6.6376,4.1827,2.4549
Sm2O3,Trigonal,3.779,3.779,5.942,90,90,120,5.9535,2.0164,3.9371
Cr3O4,Triclinic,5.908,6.176,5.806,118.24,91.29,117.92,5.3104,3.8344,1.476
OsO4,Monoclinic,4.436,5.162,7.95,77.21,73.78,64.55,0.055,-3.1922,3.2472
Fe3O4,Monoclinic,6.008,6.008,5.05,77.03,77.03,59.57,4.3015,3.2853,1.0162
OsO4,Monoclinic,5.245,5.245,4.927,64.29,64.29,54.37,0.055,-3.1922,3.2472
RuO4,Monoclinic,4.374,5.105,7.844,77.23,73.84,64.62,-0.5792,-2.9645,2.3853
Fe3O4,Monoclinic,6.066,6.063,8.685,89.79,90,90,4.208,3.1417,1.0663
Pb3O4,Orthorhombic,6.65,8.589,9.186,90,90,90,4.6155,3.4551,1.1604
Fe3O4,Monoclinic,6.047,10.499,6.035,73.56,119.77,89.78,4.3132,3.2903,1.0229
Pb3O4,Tetragonal,6.646,8.894,8.894,90,90,90,4.7052,3.4233,1.2819
RuO4,Cubic,8.467,8.467,8.467,90,90,90,-0.775,-2.9802,2.2052
Fe3O4,Triclinic,6.074,6.063,10.507,89.34,72.74,59.81,4.5447,3.3357,1.209
Fe3O4,Monoclinic,3.059,5.143,5.226,74.88,90,90,3.7879,2.719,1.0689
V2O5,Triclinic,11.475,11.915,12.34,89.03,93.11,82.61,0.4912,-1.0949,1.5861
As2O5,Tetragonal,4.634,8.619,8.619,90,90,90,2.8318,1.2033,1.6285
V2O5,Monoclinic,5.891,5.891,5.363,82.9,82.9,28.38,1.6149,0.2355,1.3794
V2O5,Triclinic,11.757,11.616,11.968,85.63,91.34,81.43,0.8152,-1.1235,1.9387
Ta2O5,Orthorhombic,3.875,6.227,7.425,90,90,90,3.7074,1.6822,2.0252
Nb2O5,Triclinic,11.516,7.731,11.391,99.72,92.02,80.29,2.3563,0.2173,2.139
B36O5,Triclinic,7.411,7.41,11.593,87.34,73.47,87.95,7.4034,5.0618,2.3416
V2O5,Orthorhombic,10.708,9.917,5.57,82.35,66.61,31.03,-0.548,-3.1288,2.5808
Nb2O5,Monoclinic,3.859,4.019,6.784,90.8,106.52,90,2.34,0.169,2.171
Ta2O5,Triclinic,3.401,3.86,8.212,90.75,94.89,90.12,2.7825,0.1912,2.5913
Ta2O5,Monoclinic,6.999,7.464,7.233,58.3,61.07,62.04,4.0766,1.0034,3.0732
Nb2O5,Monoclinic,4.925,5.634,6.9,103.48,110.91,90,3.4261,1.152,2.2741
Nb2O5,Monoclinic,3.837,14.628,15.341,73.1,82.82,82.46,1.9778,0.0061,1.9717
Ta2O5,Monoclinic,5.531,5.531,6.11,56.9,56.9,73.95,1.755,-1.5477,3.3027
Ta2O5,Orthorhombic,12.582,5.722,3.814,109.46,90,90,2.1398,-1.7574,3.8972
Nb2O5,Tetragonal,14.711,14.711,14.711,90.98,90.98,165,1.6772,0.1451,1.5321
V2O5,Monoclinic,5.36,8.951,10.23,65.41,90,90,0.4394,-1.6406,2.08
Ta2O5,Triclinic,11.316,12.054,12.056,96.25,89.62,92.18,3.0699,0.094,2.9759
V2O5,Monoclinic,6.472,6.472,5.392,77.31,77.31,42.81,3.1638,1.8048,1.359
Te2O5,Monoclinic,4.717,5.397,7.975,104.18,90,90,4.8506,3.1684,1.6822
Ta2O5,Monoclinic,9.511,9.511,5.989,78.81,78.81,19.01,-0.0277,-3.24,3.2123
V3O5,Triclinic,5.189,5.746,7.096,109.8,90.57,62.62,4.9348,3.623,1.3118
Ta2O5,Monoclinic,4.026,4.026,5.74,104.98,109.19,99.37,5.3169,2.8435,2.4734
Ta2O5,Triclinic,11.74,12.541,12.036,89.75,90.1,93.89,2.5941,-0.5539,3.148
Ta2O5,Orthorhombic,3.815,3.893,12.968,90,90,90,3.1396,0.7333,2.4063
V2O5,Triclinic,13.321,12.44,11.488,90.06,87.07,86.15,-0.3804,-1.4185,1.0381
V2O5,Monoclinic,4.91,15.337,21.06,71.49,90,90,0.6396,-1.4231,2.0627
Nb2O5,Orthorhombic,9.935,9.646,5.319,90,90,90,0.8744,-1.5725,2.4469
Nd2O5,Monoclinic,5.61,6.007,7.368,118.07,112.38,90,5.1043,2.2605,2.8438
V2O5,Triclinic,13.012,11.842,11.922,83.16,84.53,89.21,-0.0447,-1.929,1.8843
Nb2O5,Monoclinic,3.872,19.789,20.814,64.29,90,90,1.9778,0.3065,1.6713
As2O5,Tetragonal,8.618,8.618,4.634,90,90,90,2.5832,1.2178,1.3654
SO5,Monoclinic,6.677,8.048,9.787,68.97,90,90,-0.8739,-2.7615,1.8876
Ta2O5,Orthorhombic,3.682,5.998,10.407,90,90,90,2.6222,-0.1895,2.8117
Ta2O5,Triclinic,12.214,11.836,11.722,89.08,91.31,91.15,2.7043,0.1255,2.5788
V2O5,Orthorhombic,2.884,5.773,11.36,90,90,90,1.1322,-0.4015,1.5337
V2O5,Orthorhombic,5.327,5.327,11.443,90,90,141.21,0.4627,-1.973,2.4357
V2O5,Orthorhombic,3.635,6.325,11.419,90,90,90,-0.4938,-2.9043,2.4105
Ta2O5,Tetragonal,6.086,6.086,6.086,128.34,128.34,76.07,1.4584,-0.2112,1.6696
V2O5,Triclinic,6.29,6.597,7.364,77.37,80.02,75.91,-0.9277,-3.1373,2.2096
Ta2O5,Monoclinic,3.869,3.834,21.22,84.83,92.31,89.99,2.6586,1.3304,1.3282
Ta2O5,Monoclinic,3.863,3.841,6.778,74.43,90,90,3.3718,1.0308,2.341
V2O5,Monoclinic,3.554,6.287,7.217,90.14,90,90,2.1077,0.6214,1.4863
V2O5,Orthorhombic,3.552,4.263,11.604,90,90,90,1.1202,-1.1624,2.2826
Ta2O5,Orthorhombic,3.841,3.874,13.037,90,90,90,3.1028,0.7832,2.3196
Nb2O5,Monoclinic,7.826,3.857,6.803,90,89.88,90,2.251,-0.3462,2.5972
P2O5,Triclinic,12.651,11.917,11.868,88.56,86.7,96.01,1.4926,-0.2582,1.7508
P2O5,Triclinic,9.245,8.746,4.937,79.73,68.57,31.7,5.09,0.1373,4.9527
V2O5,Triclinic,12.519,13.057,11.662,90.32,84.03,94.36,-0.2383,-1.3275,1.0892
V2O5,Orthorhombic,3.617,9.689,11.578,90,90,90,0.7519,-1.3047,2.0566
I2O5,Monoclinic,5.029,8.169,10.956,107.31,90,90,4.8263,2.0985,2.7278
P2O5,Triclinic,8.185,8.221,8.471,89.58,89.98,88.06,-1.0439,-2.162,1.1181
Nb2O5,Monoclinic,4.056,4.056,5.845,68.59,68.59,80.7,4.2972,2.452,1.8452
V2O5,Monoclinic,7.884,7.884,10.16,69.77,110.23,153.76,1.0802,-0.1753,1.2555
Si2O5,Orthorhombic,7.429,7.429,7.429,140.43,131.22,64.55,3.8011,1.1248,2.6763
As2O5,Orthorhombic,4.64,8.541,8.675,90,90,90,2.6275,1.2015,1.426
Ta2O5,Triclinic,6.925,7.473,7.153,59.69,62.77,64.93,4.3363,1.2601,3.0762
P2O5,Orthorhombic,4.89,7.207,9.192,90,90,90,5.7336,0.8962,4.8374
Nb2O5,Triclinic,3.863,14.711,15.439,104.89,97.18,97.53,1.7985,0.1847,1.6138
V2O5,Orthorhombic,3.325,5.721,10.713,90,90,90,0.8103,-0.6288,1.4391
V2O5,Triclinic,12.6,12.011,12.341,90.35,93.84,94.35,-0.078,-1.2116,1.1336
WO5,Monoclinic,3.861,10.507,12.25,79.8,90,90,0.417,-1.0336,1.4506
Se2O5,Monoclinic,4.582,6.974,13.723,90,92.28,90,1.6764,-1.227,2.9034
W2O5,Orthorhombic,12.066,6.153,3.869,108.32,90,90,2.72,0.3297,2.3903
Mo2O5,Orthorhombic,11.987,6.292,3.852,107.82,90,90,1.9787,0.4685,1.5102
V3O5,Monoclinic,5.196,5.714,7.109,109.65,90,62.96,4.8054,3.744,1.0614
V2O5,Orthorhombic,5.917,8.532,10.139,90,90,90,-0.1191,-2.6352,2.5161
Ta2O5,Monoclinic,3.844,6.338,40.952,89.15,90,90,3.8335,1.6756,2.1579
V2O5,Orthorhombic,9.984,3.572,9.972,90,90,90,1.5746,-0.7656,2.3402
V2O5,Orthorhombic,7.796,6.491,7.524,90,90,90,0.8878,-0.5562,1.444
Sn5O6,Monoclinic,4.894,13.846,5.799,91.76,90,90,6.6408,4.8706,1.7702
Ti2O7,Triclinic,5.987,6.071,10.889,86.9,88.2,61.05,-1.3524,-2.5064,1.154
Re2O7,Orthorhombic,9.187,9.187,6.951,90,90,134.44,-0.3191,-3.7878,3.4687
Fe5O7,Orthorhombic,5.275,5.275,19.081,90,90,146.99,3.2643,2.229,1.0353
Mn2O7,Monoclinic,17.846,7.151,9.944,79.22,90,90,-1.4706,-3.2764,1.8058
Cl2O7,Monoclinic,4.616,7.256,8.729,110.4,90,108.55,1.3356,-2.3397,3.6753
V3O7,Orthorhombic,5.378,10.511,10.76,90,90,90,1.1109,-0.3404,1.4513
V3O7,Trigonal,10.928,10.928,9.763,90,90,120,0.233,-0.9278,1.1608
P4O7,Monoclinic,10.688,6.942,11.765,62.19,90,90,4.3266,0.2726,4.054
V4O7,Triclinic,5.844,6.27,7.684,74.37,74.91,81.3,3.9071,2.9036,1.0035
V4O7,Triclinic,6.718,6.735,6.435,68.53,87.68,86.63,3.8131,2.7751,1.038
Re2O7,Orthorhombic,5.558,12.741,15.566,90,90,90,1.2477,-1.1169,2.3646
V4O7,Triclinic,5.762,7.121,7.732,90.55,125.16,85.99,4.7457,3.4381,1.3076
Tc2O7,Orthorhombic,5.515,7.274,13.753,90,90,90,0.3413,-2.3251,2.6664
Ti3O7,Monoclinic,3.737,9.582,14.23,91,97.55,90,-0.7328,-3.119,2.3862
W3O8,Hexagonal,6.225,6.225,10.004,90,90,120,2.2553,0.6212,1.6341
W3O8,Monoclinic,5.853,5.072,10.843,62.76,90,90,4.0412,2.2253,1.8159
Mo3O8,Monoclinic,6.509,6.509,5.065,71.22,71.22,55.66,1.885,0.7383,1.1467
Mo3O8,Monoclinic,6.251,6.251,10.42,71.57,71.57,59.4,2.297,1.0705,1.2265
Si5O8,Triclinic,7.741,6.776,12.111,102.22,90.46,124.97,3.2741,-0.1787,3.4528
H11O8,Triclinic,4.387,4.489,11.411,85.83,86.48,66.85,-1.4608,-2.4643,1.0035
W3O8,Monoclinic,6.52,6.52,5.132,71.2,71.2,55.85,2.3888,0.7726,1.6162
Fe7O8,Triclinic,6.087,6.163,10.732,73.79,73.64,60.66,4.6035,3.5312,1.0723
W3O8,Triclinic,5.168,5.454,6.953,108.37,94.22,104.67,2.8741,0.1459,2.7282
Pr5O9,Monoclinic,21.047,6.736,13.75,71.92,90,90,4.9599,2.1612,2.7987
Fe8O9,Triclinic,5.311,5.353,6.829,82.15,74.67,80.75,5.0651,3.6517,1.4134
P2O9,Orthorhombic,8.674,9.415,14.738,90,90,90,3.5236,0.4348,3.0888
Te4O9,Trigonal,7.3,7.3,7.3,79.57,79.57,79.57,5.6261,3.4036,2.2225
Fe9O10,Triclinic,5.357,6.143,6.885,103.28,97.4,107.38,5.1218,3.905,1.2168
Fe10O11,Triclinic,6.81,6.893,10.757,96.91,104,108.14,5.0291,3.8185,1.2106
B84O11,Triclinic,7.396,8.8,11.807,95.81,91.22,112.22,7.4762,4.8982,2.578
Fe10O11,Triclinic,5.354,6.807,6.88,107.41,98.42,104.79,5.0825,3.7739,1.3086
Fe11O12,Triclinic,6.242,6.84,6.9,71.82,63.6,76.28,5.1525,3.7649,1.3876
V5O12,Monoclinic,6.591,6.591,5.864,74.9,105.1,99.57,0.6488,-0.3829,1.0317
Cr5O12,Orthorhombic,8.394,8.434,12.273,90,90,90,1.7443,0.3534,1.3909
V5O12,Monoclinic,4.979,4.979,9.062,87.09,87.09,113.21,2.2783,1.2709,1.0074
V5O12,Triclinic,4.973,4.97,9.036,87.08,92.02,67.53,2.2757,0.9848,1.2909
V5O12,Triclinic,4.965,5.329,7.496,83.28,89.91,89.27,2.7827,1.5879,1.1948
Cr5O12,Orthorhombic,8.985,9.06,12.536,90,90,90,0.7898,-1.0049,1.7947
V5O12,Monoclinic,9.116,8.984,15.501,55.19,90,90,0.5874,-0.4923,1.0797
Si6O13,Hexagonal,13.929,13.929,8.621,90,90,120,1.2407,-0.8644,2.1051
Sb6O13,Orthorhombic,7.301,7.301,7.301,120.6,120.46,89.08,5.5483,3.7367,1.8116
Sb6O13,Monoclinic,7.307,14.627,12.657,30.08,53.75,59.23,5.2408,3.891,1.3498
Fe15O16,Trigonal,10.891,10.891,10.891,33.16,33.16,33.16,4.9523,3.4697,1.4826
Fe17O18,Triclinic,6.834,8.182,8.231,110.93,94.52,114.24,5.2135,3.993,1.2205
V9O20,Triclinic,6.194,6.798,11.394,127.93,96.44,79.21,3.2671,1.9783,1.2888
Cr8O21,Triclinic,5.523,6.686,12.258,105.07,89.64,101.88,0.4791,-0.8947,1.3738
V9O22,Monoclinic,9.76,5.55,14.17,88.13,90,90,1.9751,0.8774,1.0977
Fe21O23,Triclinic,6.898,8.118,9.754,83.09,73.56,64.98,5.1574,3.8087,1.3487
Fe38O39,Triclinic,40.343,24.613,10.259,24.15,40.9,19.05,5.4535,3.9065,1.547
Sb26O53,Triclinic,4.98,5.54,39.977,92.69,93.03,90.08,6.8696,5.7614,1.1082
